panel,strategy,switch,observations,family_size,block_length,replications,seed,annualized_mean_difference,annualized_mean_ci_95_lower,annualized_mean_ci_95_upper,sharpe_difference,sharpe_ci_95_lower,sharpe_ci_95_upper
us_sector_etfs,short_term_reversal,strategy_minus_costed_comparator,2011,1,5,5000,20260618,-0.00987611689354,-0.0615519651236,0.0420072158969,-0.135003923685,-0.409532087241,0.124816904127
us_sector_etfs,short_term_reversal,strategy_minus_costed_comparator,2011,1,63,5000,20260618,-0.00987611689354,-0.0544635520474,0.0352589253188,-0.135003923685,-0.400010015484,0.0995151202892
us_sector_etfs,short_term_reversal,vectorized_minus_event,2011,1,21,5000,20260618,0.00123851296752,-0.000964254356764,0.00380854073617,0.00373145851183,-0.00625925895831,0.014363820924
us_sector_etfs,short_term_reversal,vectorized_minus_event,2011,1,5,5000,20260618,0.00123851296752,-0.00135296717128,0.00388981258912,0.00373145851183,-0.00869924264215,0.016893764219
us_sector_etfs,short_term_reversal,vectorized_minus_event,2011,1,63,5000,20260618,0.00123851296752,-0.000667701229806,0.00332899065697,0.00373145851183,-0.00521273592206,0.0124376712652
us_sector_etfs,learned_gbrt,same_close_minus_baseline,2011,5,21,5000,20260618,-0.0250944161316,-0.047046035882,-0.00311108646069,-0.119940260384,-0.236325040597,-0.0164789686655
us_sector_etfs,learned_gbrt,same_close_minus_baseline,2011,5,5,5000,20260618,-0.0250944161316,-0.0476452880591,-0.00334577700747,-0.119940260384,-0.230503619267,-0.0167398029182
us_sector_etfs,learned_gbrt,same_close_minus_baseline,2011,5,63,5000,20260618,-0.0250944161316,-0.0484499481424,-0.00133195989767,-0.119940260384,-0.243647277427,-0.00774056108293
us_sector_etfs,learned_gbrt,zero_cash_minus_baseline,2011,5,21,5000,20260618,-0.000205607907617,-0.00051630211777,-7.9658700898e-06,-0.000972680991691,-0.00253792741568,-3.7001326995e-05
us_sector_etfs,learned_gbrt,zero_cash_minus_baseline,2011,5,5,5000,20260618,-0.000205607907617,-0.000387186168207,-6.30425853632e-05,-0.000972680991691,-0.00189271144273,-0.0003005804682
us_sector_etfs,learned_gbrt,zero_cash_minus_baseline,2011,5,63,5000,20260618,-0.000205607907617,-0.00057704135731,8.23577584529e-06,-0.000972680991691,-0.00292266876327,3.65628339595e-05
us_sector_etfs,learned_gbrt,zero_cost_minus_baseline,2011,5,21,5000,20260618,0.0164698984714,0.0149349220451,0.018038099499,0.0776333042363,0.0619159602987,0.098909458511
us_sector_etfs,learned_gbrt,zero_cost_minus_baseline,2011,5,5,5000,20260618,0.0164698984714,0.0134381219598,0.0198353126395,0.0776333042363,0.0609102563709,0.0983340115669
us_sector_etfs,learned_gbrt,zero_cost_minus_baseline,2011,5,63,5000,20260618,0.0164698984714,0.0150549315462,0.017944576198,0.0776333042363,0.0607670204472,0.10530734409
us_sector_etfs,learned_gbrt,strategy_minus_costed_comparator,2011,5,21,5000,20260618,0.0104208491989,-0.0361778244177,0.057892278595,-0.0225954954133,-0.262669743932,0.208312370928
us_sector_etfs,learned_gbrt,strategy_minus_costed_comparator,2011,5,5,5000,20260618,0.0104208491989,-0.0395582873125,0.0600029264963,-0.0225954954133,-0.280301415249,0.211806950776
us_sector_etfs,learned_gbrt,strategy_minus_costed_comparator,2011,5,63,5000,20260618,0.0104208491989,-0.0291142754519,0.0505893776606,-0.0225954954133,-0.246336546548,0.180008980961
us_sector_etfs,learned_gbrt,vectorized_minus_event,2011,5,21,5000,20260618,0.00153171362141,-0.0015218326554,0.00494561995005,0.00345469127986,-0.00879786561082,0.0168325870917
us_sector_etfs,learned_gbrt,vectorized_minus_event,2011,5,5,5000,20260618,0.00153171362141,-0.00261896754685,0.00624702725221,0.00345469127986,-0.0149221427869,0.0233692156198
us_sector_etfs,learned_gbrt,vectorized_minus_event,2011,5,63,5000,20260618,0.00153171362141,-0.000613656605327,0.00385560941613,0.00345469127986,-0.00522574944913,0.013583677498
country_equity_etfs,ts_momentum,same_close_minus_baseline,2011,1,21,5000,20260618,0.0100066698891,-0.0032517270113,0.0236034458212,0.0623974853919,-0.0207455306988,0.142464682234
country_equity_etfs,ts_momentum,same_close_minus_baseline,2011,1,5,5000,20260618,0.0100066698891,-0.0033781713059,0.0246912457038,0.0623974853919,-0.0204455651315,0.158469472037
country_equity_etfs,ts_momentum,same_close_minus_baseline,2011,1,63,5000,20260618,0.0100066698891,-0.000917139632422,0.0216614473251,0.0623974853919,-0.00652596035195,0.124450265744
country_equity_etfs,ts_momentum,zero_cash_minus_baseline,2011,1,21,5000,20260618,-0.00242355360706,-0.00398931466449,-0.00109992967587,-0.015037066913,-0.0274849616371,-0.00644664103345
country_equity_etfs,ts_momentum,zero_cash_minus_baseline,2011,1,5,5000,20260618,-0.00242355360706,-0.00333535369079,-0.00159241242941,-0.015037066913,-0.021903824566,-0.0096735984666
country_equity_etfs,ts_momentum,zero_cash_minus_baseline,2011,1,63,5000,20260618,-0.00242355360706,-0.00486712690631,-0.000524845578939,-0.015037066913,-0.0340019089147,-0.00314612308281
country_equity_etfs,ts_momentum,zero_cost_minus_baseline,2011,1,21,5000,20260618,0.00637566667444,0.00510009177967,0.00778271430159,0.0395445763455,0.0301498752029,0.0518593497727
country_equity_etfs,ts_momentum,zero_cost_minus_baseline,2011,1,5,5000,20260618,0.00637566667444,0.00472008361792,0.00820621356206,0.0395445763455,0.028330466048,0.0535690022629
country_equity_etfs,ts_momentum,zero_cost_minus_baseline,2011,1,63,5000,20260618,0.00637566667444,0.00469363124805,0.00821606696369,0.0395445763455,0.0293274447229,0.0538556755918
country_equity_etfs,ts_momentum,strategy_minus_costed_comparator,2011,1,21,5000,20260618,-0.027437838652,-0.0517297948737,-0.00568599323891,-0.167111325354,-0.332298353366,-0.0334161653936
country_equity_etfs,ts_momentum,strategy_minus_costed_comparator,2011,1,5,5000,20260618,-0.027437838652,-0.0511438755294,-0.00594282146654,-0.167111325354,-0.324062204745,-0.0341891281519
country_equity_etfs,ts_momentum,strategy_minus_costed_comparator,2011,1,63,5000,20260618,-0.027437838652,-0.0513923524507,-0.00664139757225,-0.167111325354,-0.33137202648,-0.0413785571317
country_equity_etfs,ts_momentum,vectorized_minus_event,2011,1,21,5000,20260618,0.000846904057458,0.000190317585565,0.00157264279703,0.00529792839031,0.00162509641974,0.00949628988147
country_equity_etfs,ts_momentum,vectorized_minus_event,2011,1,5,5000,20260618,0.000846904057458,-0.000143780262155,0.00195150807555,0.00529792839031,-0.000375099171208,0.0112544249383
country_equity_etfs,ts_momentum,vectorized_minus_event,2011,1,63,5000,20260618,0.000846904057458,0.000323107174405,0.00138862310024,0.00529792839031,0.00233586031008,0.00879239059991
country_equity_etfs,cross_sectional_momentum,same_close_minus_baseline,2011,1,21,5000,20260618,-0.00307096115837,-0.0151328107818,0.00841785113666,-0.0165601193192,-0.0811545930941,0.045030207689
country_equity_etfs,cross_sectional_momentum,same_close_minus_baseline,2011,1,5,5000,20260618,-0.00307096115837,-0.0146370149565,0.00809371918129,-0.0165601193192,-0.0779262139778,0.0420477045431
country_equity_etfs,cross_sectional_momentum,same_close_minus_baseline,2011,1,63,5000,20260618,-0.00307096115837,-0.014854979186,0.00799915556394,-0.0165601193192,-0.0820800964469,0.0426144887004
country_equity_etfs,cross_sectional_momentum,zero_cash_minus_baseline,2011,1,21,5000,20260618,1.14152540724e-05,-7.10710787097e-16,3.4245762218e-05,5.90201877496e-05,-4.32986979604e-15,0.000215492433161
country_equity_etfs,cross_sectional_momentum,zero_cash_minus_baseline,2011,1,5,5000,20260618,1.14152540724e-05,-8.74300631892e-16,3.42457622181e-05,5.90201877496e-05,-4.88498130835e-15,0.000201804583564
country_equity_etfs,cross_sectional_momentum,zero_cash_minus_baseline,2011,1,63,5000,20260618,1.14152540724e-05,-6.55725473919e-16,3.42457622179e-05,5.90201877496e-05,-3.99680288865e-15,0.000220916158768
country_equity_etfs,cross_sectional_momentum,zero_cost_minus_baseline,2011,1,21,5000,20260618,0.00676103023016,0.00549440926291,0.00805446478739,0.0350152959606,0.0254656900708,0.0485022856402
country_equity_etfs,cross_sectional_momentum,zero_cost_minus_baseline,2011,1,5,5000,20260618,0.00676103023016,0.0051180276189,0.008550695349,0.0350152959606,0.0254446348854,0.0476026848514
country_equity_etfs,cross_sectional_momentum,zero_cost_minus_baseline,2011,1,63,5000,20260618,0.00676103023016,0.00530177328028,0.00827792103779,0.0350152959606,0.0249794695799,0.0512439911431
country_equity_etfs,cross_sectional_momentum,strategy_minus_costed_comparator,2011,1,21,5000,20260618,0.00563396479906,-0.0285129857343,0.0384947522923,0.00415652488798,-0.178555416927,0.184289990975
country_equity_etfs,cross_sectional_momentum,strategy_minus_costed_comparator,2011,1,5,5000,20260618,0.00563396479906,-0.029645795464,0.041090280227,0.00415652488798,-0.185784468996,0.19695124262
country_equity_etfs,cross_sectional_momentum,strategy_minus_costed_comparator,2011,1,63,5000,20260618,0.00563396479906,-0.025334846672,0.0342215719517,0.00415652488798,-0.170652713948,0.165326664657
country_equity_etfs,cross_sectional_momentum,vectorized_minus_event,2011,1,21,5000,20260618,0.0008905998446,0.000250823060642,0.00171113039887,0.00371466011878,0.00101437209764,0.00691685225487
country_equity_etfs,cross_sectional_momentum,vectorized_minus_event,2011,1,5,5000,20260618,0.0008905998446,8.30121595968e-05,0.00183348645918,0.00371466011878,-0.000110856766818,0.00780204134121
country_equity_etfs,cross_sectional_momentum,vectorized_minus_event,2011,1,63,5000,20260618,0.0008905998446,0.000298051714808,0.00163436387786,0.00371466011878,0.0011892961735,0.00677581289108
country_equity_etfs,short_term_reversal,same_close_minus_baseline,2011,1,21,5000,20260618,-0.0694808744485,-0.100009788557,-0.0387191594018,-0.383143315232,-0.639392483547,-0.207237290131
country_equity_etfs,short_term_reversal,same_close_minus_baseline,2011,1,5,5000,20260618,-0.0694808744485,-0.1038064686,-0.0375387724529,-0.383143315232,-0.616465154072,-0.203446420451
country_equity_etfs,short_term_reversal,same_close_minus_baseline,2011,1,63,5000,20260618,-0.0694808744485,-0.0985082517709,-0.0411288752375,-0.383143315232,-0.667600771717,-0.197821159056
country_equity_etfs,short_term_reversal,zero_cash_minus_baseline,2011,1,21,5000,20260618,-0.00763435808132,-0.0100396023724,-0.00540175043388,-0.0421667171285,-0.0688466334933,-0.026099915379
country_equity_etfs,short_term_reversal,zero_cash_minus_baseline,2011,1,5,5000,20260618,-0.00763435808132,-0.00903364333344,-0.00630775809853,-0.0421667171285,-0.0573937737503,-0.0316053750115
country_equity_etfs,short_term_reversal,zero_cash_minus_baseline,2011,1,63,5000,20260618,-0.00763435808132,-0.0108866364549,-0.00468362155079,-0.0421667171285,-0.0771862193578,-0.0228054832448
country_equity_etfs,short_term_reversal,zero_cost_minus_baseline,2011,1,21,5000,20260618,0.0181289474788,0.0165230449025,0.0198000242915,0.0998568059433,0.0747137910535,0.138074684499
country_equity_etfs,short_term_reversal,zero_cost_minus_baseline,2011,1,5,5000,20260618,0.0181289474788,0.0148006558646,0.0217918018618,0.0998568059433,0.0760089544663,0.133707255657
country_equity_etfs,short_term_reversal,zero_cost_minus_baseline,2011,1,63,5000,20260618,0.0181289474788,0.0165496788486,0.0197294575942,0.0998568059433,0.0731013539015,0.142456839231
country_equity_etfs,short_term_reversal,strategy_minus_costed_comparator,2011,1,21,5000,20260618,-0.0114128220015,-0.0455203112516,0.021561965425,-0.100635800085,-0.296160183736,0.100806321334
country_equity_etfs,short_term_reversal,strategy_minus_costed_comparator,2011,1,5,5000,20260618,-0.0114128220015,-0.0482499096284,0.0258099570262,-0.100635800085,-0.316098474678,0.11016974095
country_equity_etfs,short_term_reversal,strategy_minus_costed_comparator,2011,1,63,5000,20260618,-0.0114128220015,-0.0439338420837,0.0181968467812,-0.100635800085,-0.287288442928,0.0775536976135
country_equity_etfs,short_term_reversal,vectorized_minus_event,2011,1,21,5000,20260618,0.000680536049188,-0.000252679672781,0.00180564686666,0.00364454736252,-0.00194282214677,0.00796847781535
country_equity_etfs,short_term_reversal,vectorized_minus_event,2011,1,5,5000,20260618,0.000680536049188,-0.000304405823036,0.00171219914831,0.00364454736252,-0.00206843701961,0.00866980520167
country_equity_etfs,short_term_reversal,vectorized_minus_event,2011,1,63,5000,20260618,0.000680536049188,-0.000263516824303,0.00196268534599,0.00364454736252,-0.00204429704278,0.00832842479721
country_equity_etfs,learned_gbrt,same_close_minus_baseline,2011,5,21,5000,20260618,-0.0124118167995,-0.0291037932568,0.00377260916224,-0.0719653239126,-0.16703132118,0.0210281662013
country_equity_etfs,learned_gbrt,same_close_minus_baseline,2011,5,5,5000,20260618,-0.0124118167995,-0.0291551318434,0.00374688736448,-0.0719653239126,-0.171234371082,0.0207861718307
country_equity_etfs,learned_gbrt,same_close_minus_baseline,2011,5,63,5000,20260618,-0.0124118167995,-0.029135116292,0.00443977859834,-0.0719653239126,-0.169492664784,0.0284670734645
country_equity_etfs,learned_gbrt,zero_cash_minus_baseline,2011,5,21,5000,20260618,-0.00377842781918,-0.00587016161633,-0.0019996075094,-0.0219802468407,-0.0363930481392,-0.0110826623864
country_equity_etfs,learned_gbrt,zero_cash_minus_baseline,2011,5,5,5000,20260618,-0.00377842781918,-0.00483372510767,-0.00278967932694,-0.0219802468407,-0.0292293671272,-0.0157899947906
country_equity_etfs,learned_gbrt,zero_cash_minus_baseline,2011,5,63,5000,20260618,-0.00377842781918,-0.00694878488043,-0.00118013315474,-0.0219802468407,-0.0447574957563,-0.00664578430911
country_equity_etfs,learned_gbrt,zero_cost_minus_baseline,2011,5,21,5000,20260618,0.0170641970987,0.0154114005004,0.0187420572546,0.0988179788523,0.0828716573614,0.118780628274
country_equity_etfs,learned_gbrt,zero_cost_minus_baseline,2011,5,5,5000,20260618,0.0170641970987,0.013830979364,0.0206077875116,0.0988179788523,0.0786786245858,0.122642921686
country_equity_etfs,learned_gbrt,zero_cost_minus_baseline,2011,5,63,5000,20260618,0.0170641970987,0.0153196081098,0.0187134307121,0.0988179788523,0.0796731228561,0.125044098591
country_equity_etfs,learned_gbrt,strategy_minus_costed_comparator,2011,5,21,5000,20260618,0.0225320153315,-0.0110118217618,0.0583234151146,0.131406512027,-0.0918349499425,0.314094014613
country_equity_etfs,learned_gbrt,strategy_minus_costed_comparator,2011,5,5,5000,20260618,0.0225320153315,-0.0131142643276,0.0591981891061,0.131406512027,-0.0874914113315,0.334961549436
country_equity_etfs,learned_gbrt,strategy_minus_costed_comparator,2011,5,63,5000,20260618,0.0225320153315,-0.010445799465,0.0583989825797,0.131406512027,-0.0954889009298,0.307465406209
country_equity_etfs,learned_gbrt,vectorized_minus_event,2011,5,21,5000,20260618,0.000245703517226,-0.000726899355411,0.00112415443424,0.0012807453541,-0.00435654607283,0.00627225849831
country_equity_etfs,learned_gbrt,vectorized_minus_event,2011,5,5,5000,20260618,0.000245703517226,-0.0008096142539,0.00125412524203,0.0012807453541,-0.00475230085532,0.00697433339775
country_equity_etfs,learned_gbrt,vectorized_minus_event,2011,5,63,5000,20260618,0.000245703517226,-0.000594075448447,0.00106182189233,0.0012807453541,-0.00358107532841,0.00596040295296
