panel,strategy,variant,family_size,observations,annualized_arithmetic_return,cash_excess_sharpe,cagr,total_return,max_drawdown,annualized_volatility,annualized_one_way_turnover,annualized_gross_traded_notional,arithmetic_cost_drag,mean_risky_exposure
country_equity_etfs,short_term_reversal,zero_cash,1,2011,0.0526893783073,0.154522395721,0.036834669911,0.334640777549,-0.445741422323,0.180894657781,9.63342970757,13.9083907215,0.144679894168,0.708856518783
country_equity_etfs,short_term_reversal,zero_cost,1,2011,0.0784526838674,0.296545918793,0.0638542676365,0.638791659197,-0.421701077314,0.181075015125,9.63767991904,13.9204721815,-1.99840144433e-15,0.708809521781
country_equity_etfs,ts_momentum,baseline,1,2011,0.0218219607389,-0.0179402804522,0.0087810501862,0.0722597111498,-0.40452457504,0.1609767922,3.00974169007,4.88761091148,0.0508788320726,0.886126305321
country_equity_etfs,ts_momentum,costed_comparator,1,2011,0.0492597993909,0.149171044902,0.0362575768899,0.328724225217,-0.387842521358,0.164368386949,1.21844018235,1.30965923322,0.0136240817852,0.886126305321
country_equity_etfs,ts_momentum,same_close,1,2011,0.031828630628,0.0444572049397,0.0191101568132,0.163070182458,-0.408038668315,0.159872844648,2.88231502772,4.75791160149,0.049180725028,0.887120835405
country_equity_etfs,ts_momentum,vectorized,1,2011,0.0226688647963,-0.0126423520619,0.00954668171353,0.0787712706126,-0.406006624026,0.161525330322,2.99129786176,4.85479860766,0.0505411305453,0.886126305321
country_equity_etfs,ts_momentum,zero_cash,1,2011,0.0193984071318,-0.0329773473651,0.00633962460419,0.0517248393511,-0.409381244624,0.16097524938,3.00974169007,4.88761091148,0.0508783590056,0.886126305321
country_equity_etfs,ts_momentum,zero_cost,1,2011,0.0281976274133,0.0216042958934,0.0152146936152,0.128062187209,-0.394916581953,0.161091681751,3.009120474,4.89044383214,4.4408920985e-16,0.886126305321
us_sector_etfs,cross_sectional_momentum,baseline,1,2011,0.141938223631,0.59570698571,0.130377267384,1.65907936456,-0.320576872001,0.196609316398,2.69492292158,5.25802500505,0.0546149368202,0.999005469915
us_sector_etfs,cross_sectional_momentum,costed_comparator,1,2011,0.125894343507,0.547788307593,0.114912904345,1.38226580479,-0.367244611855,0.184512699534,0.283623304862,0.441687011013,0.00458887331259,0.999005469915
us_sector_etfs,cross_sectional_momentum,same_close,1,2011,0.13714696614,0.5719957102,0.125027072915,1.56028699333,-0.315069394928,0.196388161718,2.56101306738,5.11537614577,0.0529717271989,1
us_sector_etfs,cross_sectional_momentum,vectorized,1,2011,0.143852606617,0.603965586032,0.132438259252,1.69801618846,-0.320537520264,0.197086800449,2.58975634013,5.05420188961,0.0525026112164,0.999005469915
us_sector_etfs,cross_sectional_momentum,zero_cash,1,2011,0.141949638885,0.595765068842,0.130390171589,1.6593216169,-0.320576872001,0.196609281032,2.69492292158,5.25802500505,0.0546149368202,0.999005469915
